strategy_id,reason,day,n,first_seen_ts,last_seen_ts
baseline_v1,"entry_price=0.520 outside [0.1, 0.4)",2026-05-02,13,1777753574,1777753596
baseline_v1,insufficient cash ($0.00 < $10.00),2026-05-02,12,1777752692,1777765288
baseline_v1,"entry_price=0.026 outside [0.1, 0.4)",2026-05-03,12,1777778872,1777797826
baseline_v1,category=unknown not in strategy whitelist,2026-05-02,12,1777754500,1777754584
baseline_v1,"entry_price=0.974 outside [0.1, 0.4)",2026-05-03,12,1777774322,1777798686
baseline_v1,price out of bounds: 0.003,2026-05-02,12,1777752704,1777766270
baseline_v1,"entry_price=0.400 outside [0.1, 0.4)",2026-05-03,11,1777770782,1777802272
baseline_v1,"entry_price=0.995 outside [0.1, 0.4)",2026-05-03,11,1777781526,1777805684
baseline_v1,"entry_price=0.670 outside [0.1, 0.4)",2026-05-03,11,1777772506,1777805014
baseline_v1,hours_to_res=-493826.7 < 72,2026-05-03,11,1777776108,1777776206
baseline_v1,"entry_price=0.890 outside [0.1, 0.4)",2026-05-03,11,1777784332,1777797808
baseline_v1,"entry_price=0.977 outside [0.1, 0.4)",2026-05-02,11,1777752686,1777759000
baseline_v1,"entry_price=0.050 outside [0.1, 0.4)",2026-05-03,11,1777776124,1777806798
baseline_v1,"entry_price=0.620 outside [0.1, 0.4)",2026-05-02,11,1777755468,1777763578
baseline_v1,"entry_price=0.850 outside [0.1, 0.4)",2026-05-03,11,1777774330,1777806816
baseline_v1,"entry_price=0.019 outside [0.1, 0.4)",2026-05-03,10,1777775298,1777793326
baseline_v1,"entry_price=0.969 outside [0.1, 0.4)",2026-05-02,10,1777759954,1777759954
baseline_v1,price out of bounds: 0.9969999989978283,2026-05-03,10,1777779758,1777795144
baseline_v1,"entry_price=0.975 outside [0.1, 0.4)",2026-05-02,10,1777753680,1777759976
baseline_v1,"entry_price=0.979 outside [0.1, 0.4)",2026-05-03,10,1777773510,1777804772
baseline_v1,"entry_price=0.980 outside [0.1, 0.4)",2026-05-03,10,1777777928,1777795128
baseline_v1,"entry_price=0.991 outside [0.1, 0.4)",2026-05-02,10,1777758166,1777759960
baseline_v1,"entry_price=0.560 outside [0.1, 0.4)",2026-05-03,10,1777775280,1777805680
baseline_v1,hours_to_res=-493827.0 < 72,2026-05-03,10,1777777020,1777777076
baseline_v1,"entry_price=0.640 outside [0.1, 0.4)",2026-05-03,10,1777776126,1777806610
baseline_v1,"entry_price=0.690 outside [0.1, 0.4)",2026-05-02,10,1777757194,1777763484
baseline_v1,"entry_price=0.038 outside [0.1, 0.4)",2026-05-03,10,1777775244,1777794256
baseline_v1,cap reached on this market (n=10),2026-05-03,10,1777777934,1777804986
baseline_v1,"entry_price=0.012 outside [0.1, 0.4)",2026-05-03,10,1777790550,1777801452
baseline_v1,"entry_price=0.920 outside [0.1, 0.4)",2026-05-03,10,1777767164,1777802376
baseline_v1,hours_to_res=-493826.9 < 72,2026-05-03,9,1777777004,1777777016
baseline_v1,"entry_price=0.810 outside [0.1, 0.4)",2026-05-02,9,1777752726,1777761720
baseline_v1,"entry_price=0.978 outside [0.1, 0.4)",2026-05-03,9,1777780670,1777805686
baseline_v1,"entry_price=0.570 outside [0.1, 0.4)",2026-05-03,9,1777772520,1777807678
baseline_v1,"entry_price=0.710 outside [0.1, 0.4)",2026-05-03,9,1777767114,1777803186
baseline_v1,"entry_price=0.989 outside [0.1, 0.4)",2026-05-03,9,1777781550,1777806778
baseline_v1,"entry_price=0.013 outside [0.1, 0.4)",2026-05-03,8,1777792390,1777807506
baseline_v1,no resolution timestamp known,2026-05-03,8,1777776126,1777804766
baseline_v1,"entry_price=0.780 outside [0.1, 0.4)",2026-05-03,8,1777768914,1777794272
baseline_v1,"entry_price=0.019 outside [0.1, 0.4)",2026-05-02,8,1777753658,1777759072
baseline_v1,"entry_price=0.968 outside [0.1, 0.4)",2026-05-03,8,1777785138,1777790618
baseline_v1,"entry_price=0.970 outside [0.1, 0.4)",2026-05-02,8,1777756382,1777759980
baseline_v1,"entry_price=0.440 outside [0.1, 0.4)",2026-05-03,8,1777767152,1777804770
baseline_v1,"entry_price=0.958 outside [0.1, 0.4)",2026-05-03,8,1777768074,1777801184
baseline_v1,"entry_price=0.957 outside [0.1, 0.4)",2026-05-03,8,1777775260,1777807674
baseline_v1,"entry_price=0.600 outside [0.1, 0.4)",2026-05-03,8,1777767110,1777791532
baseline_v1,"entry_price=0.550 outside [0.1, 0.4)",2026-05-03,8,1777768950,1777803890
baseline_v1,"entry_price=0.880 outside [0.1, 0.4)",2026-05-03,8,1777770766,1777807678
baseline_v1,price out of bounds: 0.99699999998006,2026-05-03,8,1777780678,1777796900
baseline_v1,hours_to_res=-493830.5 < 72,2026-05-03,8,1777789660,1777789742
baseline_v1,hours_to_res=-493824.2 < 72,2026-05-03,8,1777767098,1777767176
baseline_v1,"entry_price=0.820 outside [0.1, 0.4)",2026-05-02,8,1777757264,1777764472
baseline_v1,"entry_price=0.690 outside [0.1, 0.4)",2026-05-03,8,1777776198,1777806778
baseline_v1,"entry_price=0.979 outside [0.1, 0.4)",2026-05-02,8,1777759928,1777764458
baseline_v1,"entry_price=0.021 outside [0.1, 0.4)",2026-05-03,7,1777773510,1777795088
baseline_v1,"entry_price=0.070 outside [0.1, 0.4)",2026-05-03,7,1777768014,1777788780
baseline_v1,hours_to_res=-493823.7 < 72,2026-05-02,7,1777765290,1777765366
baseline_v1,"entry_price=0.960 outside [0.1, 0.4)",2026-05-02,7,1777753668,1777762652
baseline_v1,hours_to_res=-493831.0 < 72,2026-05-03,7,1777791450,1777791540
baseline_v1,"entry_price=0.985 outside [0.1, 0.4)",2026-05-02,7,1777759962,1777759974
baseline_v1,"entry_price=0.977 outside [0.1, 0.4)",2026-05-03,7,1777769832,1777803188
baseline_v1,"entry_price=0.980 outside [0.1, 0.4)",2026-05-02,7,1777756296,1777759954
baseline_v1,"entry_price=0.985 outside [0.1, 0.4)",2026-05-03,7,1777777984,1777805680
baseline_v1,"entry_price=0.987 outside [0.1, 0.4)",2026-05-03,7,1777783394,1777807508
baseline_v1,"entry_price=0.986 outside [0.1, 0.4)",2026-05-03,7,1777777936,1777806776
baseline_v1,"entry_price=0.080 outside [0.1, 0.4)",2026-05-03,7,1777767118,1777803890
